City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Mahibadhoo,MV,82.24,moderate rain,3.7833,72.9667,Omadhoo Inn
12,Catalina,US,80.58,overcast clouds,32.5056,-110.9211,Miraval Arizona Resort & Spa
30,Kavieng,PG,83.17,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
32,Gazanjyk,TM,80.96,clear sky,39.2446,55.5154,Railway motel
39,Nishihara,JP,83.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
42,Hithadhoo,MV,80.46,moderate rain,-0.6,73.0833,Scoop Guest House
45,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
50,Ugoofaaru,MV,81.54,overcast clouds,5.6667,73.0,Ungoofaaru Inn
53,Kokopo,PG,83.62,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
62,Saharanpur,IN,80.51,moderate rain,29.9667,77.55,Hotel Armandeep
63,Jizan,SA,81.54,broken clouds,17.3333,42.6667,شهدان. ابوالحجر
71,Changli,CN,82.71,overcast clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
83,Naze,JP,81.52,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
94,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
101,Hasaki,JP,82.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
111,Georgetown,MY,84.13,haze,5.4112,100.3354,Cititel Penang
118,Tecoanapa,MX,83.41,scattered clouds,16.5167,-98.75,Hotel Manglares
122,Birjand,IR,81.07,few clouds,32.8663,59.2211,Birjand Tourist Hotel
129,Lompoc,US,82.13,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
137,Namatanai,PG,84.2,light rain,-3.6667,152.4333,Seagulls Inn Namatani
141,Hilo,US,80.4,mist,19.7297,-155.09,Hilo Hawaiian Hotel
162,Lorengau,PG,84.47,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
178,Khash,IR,80.33,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
185,Kerema,PG,80.58,overcast clouds,-7.9631,145.7785,Frena Lodge
189,Plastun,RU,81.54,overcast clouds,44.7561,136.2939,Gostinitsa Rossiyanochka
208,Havelock,US,82.38,few clouds,34.8791,-76.9013,Sherwood Motel
218,Andros Town,BS,82.36,scattered clouds,24.7,-77.7667,Hanks place
224,Kenora,CA,82.78,scattered clouds,49.8167,-94.4337,Maynard Lake Lodge
227,Kuala Terengganu,MY,80.55,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
243,Tanakpur,IN,82.47,heavy intensity rain,29.0833,80.1167,Hotel Parvat
249,Wilmington,US,80.91,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
253,Melito Di Porto Salvo,IT,83.26,clear sky,37.9222,15.7714,B&B Nereidi
271,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
277,Iralaya,HN,84.29,overcast clouds,15.0,-83.2333,Iglesia morava renovada
284,Wanning,CN,83.62,broken clouds,18.8003,110.3967,Paradise Hotel
293,Tahta,EG,82.72,clear sky,26.7693,31.5021,El Salam Hotel
296,Cockburn Town,TC,81.93,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
297,Jining,CN,83.93,overcast clouds,35.405,116.5814,Yunhe Star Hotel
301,Kieta,PG,83.95,light rain,-6.2167,155.6333,Uruna Bay Retreat
309,Coahuayana,MX,82.65,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
314,Shieli,KZ,84.13,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
318,Celestun,MX,82.18,scattered clouds,20.8667,-90.4,Posada Lilia
327,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
328,Vanimo,PG,84.09,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
332,Cairns,AU,81.1,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
343,Tautira,PF,82.42,clear sky,-17.7333,-149.15,Pension Oaoa
345,Cuitlahuac,MX,81.05,few clouds,18.8167,-96.7167,Empacadora Sierra Madre
349,Kalmunai,LK,80.26,overcast clouds,7.4167,81.8167,VS Villa
352,Pacific Grove,US,84.76,overcast clouds,36.6177,-121.9166,Lovers Point Inn
361,Sorong,ID,81.82,overcast clouds,-0.8833,131.25,waigo splash hotel
379,Udachnyy,RU,81.12,clear sky,66.4167,112.4,Severnoye Siyaniye
382,Progreso,MX,81.45,broken clouds,21.2833,-89.6667,Playa Linda Hotel
388,Naraini,IN,80.02,light rain,25.1833,80.4833,Chhedilal Tea Stall
391,Honiara,SB,84.07,overcast clouds,-9.4333,159.95,Heritage Park Hotel
397,Umm Lajj,SA,84.81,clear sky,25.0213,37.2685,Moon light Furnished Units
398,Key West,US,84.99,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
