City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Macia,MZ,-25.0269,33.0989,69.37,57,0,9.01,clear sky
1,Bubaque,GW,11.2833,-15.8333,78.94,84,100,18.86,moderate rain
2,Mataura,NZ,-46.1927,168.8643,47.48,99,100,1.01,overcast clouds
3,Upernavik,GL,72.7868,-56.1549,41.81,80,100,9.95,overcast clouds
4,Jamestown,US,42.097,-79.2353,68.18,71,0,4.0,clear sky
5,Khatanga,RU,71.9667,102.5,71.96,36,8,12.35,clear sky
6,Chokurdakh,RU,70.6333,147.9167,37.63,83,100,20.09,overcast clouds
7,Hithadhoo,MV,-0.6,73.0833,81.7,73,86,4.74,overcast clouds
8,Hermanus,ZA,-34.4187,19.2345,67.89,79,100,2.1,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,41.11,65,100,18.01,overcast clouds
10,Fortuna,US,40.5982,-124.1573,53.65,92,90,0.0,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,39.51,78,76,4.25,broken clouds
12,Dikson,RU,73.5069,80.5464,45.97,97,100,14.29,light rain
13,Albany,US,42.6001,-73.9662,67.59,54,18,1.01,few clouds
14,College,US,64.8569,-147.8028,56.89,87,100,1.01,overcast clouds
15,Gornoye Loo,RU,43.7129,39.6049,82.18,80,0,4.79,clear sky
16,San Patricio,US,28.017,-97.5169,88.88,58,20,7.34,few clouds
17,Busselton,AU,-33.65,115.3333,52.09,80,84,29.01,light rain
18,Pangody,RU,65.85,74.4859,56.28,64,83,9.08,broken clouds
19,Bengkulu,ID,-3.8004,102.2655,77.49,88,54,5.79,broken clouds
20,Jasper,US,37.2001,-94.3502,87.82,66,43,3.0,scattered clouds
21,Kapaa,US,22.0752,-159.319,77.11,74,68,1.99,broken clouds
22,Koslan,RU,63.4564,48.8989,57.54,97,99,2.42,overcast clouds
23,Saskylakh,RU,71.9167,114.0833,70.27,40,0,8.81,clear sky
24,Cape Town,ZA,-33.9258,18.4232,70.11,59,73,1.99,broken clouds
25,Kruisfontein,ZA,-34.0033,24.7314,68.88,50,100,4.61,overcast clouds
26,Qaanaaq,GL,77.484,-69.3632,42.06,85,70,3.06,broken clouds
27,Rikitea,PF,-23.1203,-134.9692,70.79,70,21,13.27,few clouds
28,Georgetown,MY,5.4112,100.3354,82.33,84,20,0.0,few clouds
29,Gizo,SB,-8.103,156.8419,80.89,78,53,18.23,light rain
30,Mangrol,IN,21.1167,70.1167,81.82,83,100,22.57,overcast clouds
31,Bluff,NZ,-46.6,168.3333,47.8,95,100,1.9,light rain
32,Tasiilaq,GL,65.6145,-37.6368,51.96,75,99,2.15,overcast clouds
33,Hobart,AU,-42.8794,147.3294,51.26,72,75,1.01,broken clouds
34,Vaini,TO,-21.2,-175.2,73.76,79,99,21.14,overcast clouds
35,Batticaloa,LK,7.7102,81.6924,83.55,74,78,3.56,broken clouds
36,High Prairie,CA,55.4334,-116.4858,69.42,55,0,4.92,clear sky
37,Suzun,RU,53.7841,82.3116,68.31,39,100,1.92,overcast clouds
38,Honiara,SB,-9.4333,159.95,76.15,89,96,4.97,overcast clouds
39,Muros,ES,42.7762,-9.0603,71.17,54,69,16.98,broken clouds
40,Puerto Madryn,AR,-42.7692,-65.0385,46.38,40,0,6.78,clear sky
41,Nanortalik,GL,60.1432,-45.2371,47.48,81,74,10.0,broken clouds
42,Sao Felix Do Xingu,BR,-6.6447,-51.995,93.63,22,40,4.99,scattered clouds
43,Cotmeana,RO,44.9667,24.6167,78.82,47,46,11.16,scattered clouds
44,Palmer,US,42.1584,-72.3287,70.03,54,7,1.99,clear sky
45,Hervey Bay,AU,-25.2986,152.8535,63.01,87,0,9.44,clear sky
46,Cap Malheureux,MU,-19.9842,57.6142,70.47,70,2,1.99,clear sky
47,Lifford,IE,54.8319,-7.4836,60.75,72,100,10.98,overcast clouds
48,Neenah,US,44.1858,-88.4626,73.63,84,40,11.5,haze
49,Atuona,PF,-9.8,-139.0333,76.26,74,22,11.88,few clouds
50,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,97,8.01,light rain
51,Souillac,MU,-20.5167,57.5167,70.36,71,2,18.43,clear sky
52,Santa Rosa,PH,14.3122,121.1114,83.91,84,100,12.86,light rain
53,Cayenne,GF,4.9333,-52.3333,89.64,77,40,1.99,scattered clouds
54,Jiwani,PK,25.05,61.7417,81.79,86,43,13.78,scattered clouds
55,Mar Del Plata,AR,-38.0023,-57.5575,52.88,61,0,1.99,clear sky
56,Kalulushi,ZM,-12.8378,28.0919,75.58,27,2,7.29,clear sky
57,Nara,JP,34.6851,135.8049,81.68,94,29,1.01,scattered clouds
58,Saint-Philippe,RE,-21.3585,55.7679,71.19,75,48,16.64,scattered clouds
59,Codrington,AU,-38.2667,141.9667,45.86,90,100,8.43,overcast clouds
60,Amahai,ID,-3.3333,128.9167,78.15,89,51,3.02,broken clouds
